Kierunek,Stopień,Specjalność ,Przedmiot,Pytanie,Odpowiedzi
Informatyka,1,-,Algorytmy i struktury danych,Wymień cechy algorytmu i sposoby jego reprezentacji,
Informatyka,1,-,Algorytmy i struktury danych,Omówić zagadnienie asymptotycznej złożoności obliczeniowej algorytmów. Podać standardowe notacje rzędu złożoności,
Informatyka,1,-,Algorytmy i struktury danych,Algorytmy sortowania oraz charakterystyka ich złożoności obliczeniowej,
Informatyka,1,-,Algorytmy i struktury danych,Przedstawić iteracyjne oraz rekurencyjne struktury algorytmiczne. Dokonać porównania,
Informatyka,1,-,Algorytmy i struktury danych,"Struktury drzewiaste, charakterystyka podstawowych typów drzew oraz przykłady ich zastosowań",
Informatyka,1,-,Podstawy sieci komputerowych,"Ruting w sieciach komputerowych, metody rutingu, porównanie",
Informatyka,1,-,Podstawy sieci komputerowych,Metody dostępu do sieci w technologii bezprzewodowej WiFi,
Informatyka,1,-,Podstawy sieci komputerowych,Podstawowe i złożone topologie sieci komputerowych,
Informatyka,2,Grafika komputerowa i multimedia,Zarządzanie projektem informatycznym,Omówić zasadnicze cechy mechanizmu dziedziczenia,
Informatyka,2,Grafika komputerowa i multimedia,Programowanie równoległe i rozproszone,Środowiska programowania równoległego,
Informatyka,2,Grafika komputerowa i multimedia,Programowanie równoległe i rozproszone,Sposoby równoważenia obciążenia procesorów w obliczeniach równoległych,
Informatyka,2,Grafika komputerowa i multimedia,Komputerowe przetwarzanie obrazu,Kompresja obrazu – omówić przykład kompresji stratnej i bezstratnej,
Informatyka,2,Grafika komputerowa i multimedia,Technologie przekazu multimedialnego,Zapis barwy w obrazie cyfrowym,
Informatyka,2,Informatyka stosowana,Integracja sieci komputerowych,Omów działanie protokołu dynamicznego routingu opartego na metryce odległości,
Informatyka,2,Informatyka stosowana,Integracja sieci komputerowych,"Przedstaw zasada działania następujących elementów (hub, switch , router)",
Informatyka,2,Informatyka stosowana,Integracja sieci komputerowych,Omów działanie protokołu OSPF,
Informatyka,2,Informatyka stosowana,Programowanie równoległe i rozproszone,Sposoby równoważenia obciążenia procesorów w obliczeniach równoległych,
Informatyka,2,Informatyka stosowana,Metody obliczeniowe w nauce i technice,Co to jest sformułowanie wariacyjne,
Informatyka,2,Teleinformatyka,Zarządzanie projektem informatycznym,Wymienić trzy główne ograniczenia w projekcie informatycznym: czym są i jakie są między nimi zależności?,
Informatyka,2,Teleinformatyka,Systemy teleinformatyczne,Podać i omówić 3 nowe rekordy wprowadzone w DNSSec,
Informatyka,2,Teleinformatyka,Bezpieczeństwo systemów teleinformatycznych,Omówić metodę łamania haseł z wykorzystaniem tęczowych tablic oraz podać zasady jakie musi spełniać dobra funkcja redukcyjna,
Informatyka,2,Teleinformatyka,Systemy teleinformatyczne,Sieci ATM - struktura i podstawowe cechy funkcjonalne,
Informatyka,2,Teleinformatyka,Integracja aplikacyjna i systemowa,Integracja w warstwie danych - typowe rozwiązania oraz stosowane technologie,
Informatyka,2,Cyberbezpieczeństwo,Wstęp do cyberbezpieczeństwa,"Zdefiniuj pojęcia: Phishing, Spam, Trojan",
Informatyka,2,Cyberbezpieczeństwo,Wstęp do cyberbezpieczeństwa,Wymień i omów siedem zasad RODO,
Informatyka,2,Cyberbezpieczeństwo,Bezpieczeństwo w sieciach telekomunikacyjnych,Scharakteryzuj trzy techniki ataków stosowanych w sieciach komputerowych,
Informatyka,2,Cyberbezpieczeństwo,Bezpieczeństwo w sieciach telekomunikacyjnych,Omów mechanizmy zabezpieczeń stosowane w sieciach bezprzewodowych Wi-Fi,
Informatyka,2,Cyberbezpieczeństwo,Bezpieczeństwo systemów informatycznych,Omów jedno z narzędzi modelowania zagrożeń systemów komputerowych,
Informatyka,2,Analityka danych/Data Science,Statystyka i probabilistyka,Wymień 3 przykładowe testy do sprawdzania równości wariancji.,
Informatyka,2,Analityka danych/Data Science,Przetwarzanie i analiza danych multimedialnych,Wymień i scharakteryzuj krótko przykładowy algorytm binaryzacji obrazu,
Informatyka,2,Analityka danych/Data Science,Zaawansowane techniki programowania,Wymienić przynajmniej 5 wzorców projektowych GoF. Wybrać i scharakteryzować 2 z nich. Jakie problemy dzięki nim są rozwiązywane?,
Informatyka,2,Analityka danych/Data Science,Programowanie równoległe i rozproszone,Omów krótko środowisko MPI.,
Informatyka,2,Analityka danych/Data Science,Zaawansowane technologie baz danych,Różnice pomiędzy relacyjną i nierelacyjną bazą danych. Przykłady zastosowań obu typów baz danych,
